ma_len,us10y_th,vix_th,rsi_th,risk_pos,cagr,max_dd,calmar,avg_exposure,dd_peak,dd_trough
150,0.08,40,30,0.7,0.13182902830656085,-0.2648948372678672,0.4976655251806685,84.07645466847092,2020-02-19,2020-03-23
150,0.08,45,30,0.7,0.13182902830656085,-0.2648948372678672,0.4976655251806685,84.07645466847092,2020-02-19,2020-03-23
150,0.12,38,35,0.7,0.13175968877035582,-0.26489483726786744,0.49740376267551617,85.65967523680649,2020-02-19,2020-03-23
150,0.12,40,35,0.7,0.13175968877035582,-0.26489483726786744,0.49740376267551617,85.65967523680649,2020-02-19,2020-03-23
150,0.12,38,30,0.7,0.13169630046516434,-0.26489483726786744,0.497164466561461,85.63937753721244,2020-02-19,2020-03-23
150,0.12,40,30,0.7,0.13169630046516434,-0.26489483726786744,0.497164466561461,85.63937753721244,2020-02-19,2020-03-23
150,0.12,35,32,0.7,0.131585964448095,-0.26489483726786756,0.49674793893786745,85.6190798376184,2020-02-19,2020-03-23
150,0.15,38,30,0.7,0.13156369990955774,-0.26489483726786744,0.4966638884566771,86.71515561569689,2020-02-19,2020-03-23
150,0.15,40,30,0.7,0.13156369990955774,-0.26489483726786744,0.4966638884566771,86.71515561569689,2020-02-19,2020-03-23
150,0.15,35,32,0.7,0.1314833431880067,-0.26489483726786744,0.4963605351622911,86.69485791610285,2020-02-19,2020-03-23
200,0.12,45,35,0.7,0.13146707283360115,-0.26489483726786756,0.49629911322378367,85.43640054127198,2020-02-19,2020-03-23
150,0.1,38,32,0.7,0.13144038371592215,-0.2648948372678672,0.4961983595890428,84.79702300405954,2020-02-19,2020-03-23
150,0.1,40,32,0.7,0.13144038371592215,-0.2648948372678672,0.4961983595890428,84.79702300405954,2020-02-19,2020-03-23
150,0.1,45,32,0.7,0.13144038371592215,-0.2648948372678672,0.4961983595890428,84.79702300405954,2020-02-19,2020-03-23
200,0.08,45,32,0.7,0.13143831550491547,-0.26489483726786744,0.49619055192080685,83.84303112313938,2020-02-19,2020-03-23
200,0.08,45,35,0.7,0.13143831550491547,-0.26489483726786744,0.49619055192080685,83.84303112313938,2020-02-19,2020-03-23
200,0.15,38,35,0.7,0.13143051608719314,-0.26489483726786744,0.49616110847146383,86.51217861975643,2020-02-19,2020-03-23
200,0.15,40,35,0.7,0.13143051608719314,-0.26489483726786744,0.49616110847146383,86.51217861975643,2020-02-19,2020-03-23
200,0.12,45,30,0.7,0.13140370091742604,-0.2648948372678671,0.49605987897962656,85.41610284167794,2020-02-19,2020-03-23
150,0.08,35,30,0.7,0.1313774930351046,-0.2648948372678672,0.4959609420483077,84.05615696887685,2020-02-19,2020-03-23
200,0.15,45,30,0.7,0.13134503806404196,-0.26489483726786744,0.49583842183841054,86.5020297699594,2020-02-19,2020-03-23
200,0.12,38,32,0.7,0.1313399615915618,-0.26489483726786733,0.4958192577333926,85.4059539918809,2020-02-19,2020-03-23
200,0.12,40,32,0.7,0.1313399615915618,-0.26489483726786733,0.4958192577333926,85.4059539918809,2020-02-19,2020-03-23
120,0.15,45,32,0.7,0.13127939822219092,-0.26489483726786733,0.4955906259865623,86.53247631935047,2020-02-19,2020-03-23
150,0.15,45,32,0.6,0.13117457880161343,-0.2390240755052716,0.5487923278202175,82.3274695534506,2020-02-19,2020-03-23
200,0.08,38,32,0.7,0.1310941137537811,-0.26489483726786744,0.49489116173757614,83.83288227334236,2020-02-19,2020-03-23
200,0.08,38,35,0.7,0.1310941137537811,-0.26489483726786744,0.49489116173757614,83.83288227334236,2020-02-19,2020-03-23
200,0.08,40,32,0.7,0.1310941137537811,-0.26489483726786744,0.49489116173757614,83.83288227334236,2020-02-19,2020-03-23
200,0.08,40,35,0.7,0.1310941137537811,-0.26489483726786744,0.49489116173757614,83.83288227334236,2020-02-19,2020-03-23
150,0.12,35,35,0.7,0.13106766921270663,-0.26489483726786744,0.4947913313998194,85.62922868741542,2020-02-19,2020-03-23
150,0.12,35,30,0.7,0.13100431966658,-0.26489483726786744,0.49455218160445147,85.60893098782137,2020-02-19,2020-03-23
150,0.15,35,35,0.7,0.1309650949557737,-0.26489483726786744,0.49440410506505617,86.70500676589987,2020-02-19,2020-03-23
150,0.1,38,35,0.7,0.13092215516022332,-0.2648948372678672,0.4942420037723577,84.80717185385657,2020-02-19,2020-03-23
150,0.1,40,35,0.7,0.13092215516022332,-0.2648948372678672,0.4942420037723577,84.80717185385657,2020-02-19,2020-03-23
150,0.1,45,35,0.7,0.13092215516022332,-0.2648948372678672,0.4942420037723577,84.80717185385657,2020-02-19,2020-03-23
150,0.1,38,30,0.7,0.13085881376413844,-0.26489483726786744,0.49400288474407356,84.78687415426252,2020-02-19,2020-03-23
150,0.1,40,30,0.7,0.13085881376413844,-0.26489483726786744,0.49400288474407356,84.78687415426252,2020-02-19,2020-03-23
150,0.1,45,30,0.7,0.13085881376413844,-0.26489483726786744,0.49400288474407356,84.78687415426252,2020-02-19,2020-03-23
200,0.08,45,30,0.7,0.1308567466162096,-0.2648948372678671,0.49399508108904583,83.83288227334235,2020-02-19,2020-03-23
200,0.12,38,35,0.7,0.1308217790317574,-0.26489483726786756,0.4938630755550268,85.41610284167793,2020-02-19,2020-03-23
200,0.12,40,35,0.7,0.1308217790317574,-0.26489483726786756,0.4938630755550268,85.41610284167793,2020-02-19,2020-03-23
